text,true_label,predicted_label,prob_F,prob_PE,prob_LF,prob_US,prob_A,prob_SE,prob_FT,prob_SC,prob_PO,prob_O,prob_MN,prob_L
product shall audit capabilitiesthe product shall store messages minimum one year audit transaction tracking purposes,SE,PE,0.030825061723589897,0.4215335249900818,0.023624839261174202,0.047536276280879974,0.1272079050540924,0.09711446613073349,0.06562373787164688,0.05416559427976608,0.018340185284614563,0.03651544079184532,0.05222966521978378,0.02528328076004982
recycled parts search results provided estimator shall retrieved system,F,F,0.9757599234580994,0.0006610089330933988,0.005166262853890657,0.0069590844213962555,0.0008135532261803746,0.0029870227444916964,0.0008067022426985204,0.0006818550173193216,0.001309049315750599,0.0020997796673327684,0.0010821230243891478,0.0016736522084102035
users able access streaming movies 2 clicks logging website,US,PE,0.0531826987862587,0.2745898962020874,0.019412197172641754,0.09358923137187958,0.07965924590826035,0.2252551019191742,0.050423406064510345,0.055287331342697144,0.027143387123942375,0.06514104455709457,0.03324606269598007,0.023070473223924637
product shall available 24 hours per day seven days per week,A,A,0.018836041912436485,0.14337632060050964,0.01882125250995159,0.028900254517793655,0.5528067350387573,0.017764395102858543,0.03050956130027771,0.07199446111917496,0.020671524107456207,0.03993520513176918,0.041396163403987885,0.014988064765930176
system shall help user avoid making mistakes scheduling classes clinicals nursing students,US,US,0.17977817356586456,0.04003528878092766,0.14780718088150024,0.46626707911491394,0.017572883516550064,0.01892082951962948,0.041234347969293594,0.01580091565847397,0.012809105217456818,0.016800159588456154,0.026485688984394073,0.01648837886750698
system shall display detailed invoice current order confirmed,F,F,0.9863324761390686,0.0007156479405239224,0.002825448988005519,0.0034511175472289324,0.0008172059897333384,0.0015057827113196254,0.0005479434039443731,0.0007161456160247326,0.0008750504348427057,0.0006836758693680167,0.0006557895103469491,0.0008736299932934344
system use secured database,SE,SE,0.013133452273905277,0.003201455110684037,0.002601924352347851,0.0020277078729122877,0.0051868269219994545,0.9227298498153687,0.00809400249272585,0.0036983885802328587,0.005941703915596008,0.0182047076523304,0.0062693641521036625,0.008910631760954857
leads washing functionality store potential lead duplicates returned enterprise system,F,F,0.9815872311592102,0.0006037756684236228,0.004197523929178715,0.005321770906448364,0.0007264063460752368,0.0022191412281244993,0.0007755687111057341,0.0006783578428439796,0.0008517439709976315,0.0010612794430926442,0.0007274730014614761,0.0012496504932641983
system shall interface faculty central server,O,O,0.010031593963503838,0.009962872602045536,0.014214101247489452,0.007476271130144596,0.015723077580332756,0.0319875106215477,0.014113208279013634,0.013796430081129074,0.05540676787495613,0.7852842807769775,0.02803655155003071,0.013967332430183887
product shall internet browser independentthe product must run using internet explorer netscape navigator,MN,O,0.007681091316044331,0.019297625869512558,0.013956139795482159,0.010809237137436867,0.034261442720890045,0.020131204277276993,0.018735142424702644,0.015606732107698917,0.06465046852827072,0.7492954730987549,0.032843951135873795,0.012731547467410564
staff members shall able complete set tasks timely manner,PE,US,0.019313152879476547,0.14716380834579468,0.05526990443468094,0.6301031708717346,0.0221257247030735,0.009596030227839947,0.028352783992886543,0.022326737642288208,0.013679899275302887,0.014656811021268368,0.02723090536892414,0.010181047022342682
system may throttled slowed heavy loads ensure service everybody throttling meant certain functionality may unavailable heavy server load,PE,PE,0.012402549386024475,0.3935869038105011,0.017244821414351463,0.0231548473238945,0.11354051530361176,0.08517929911613464,0.07565914839506149,0.09131994098424911,0.034219302237033844,0.08613225072622299,0.04185684025287628,0.02570362389087677
system allow customers pay streaming movie prepaid card,F,F,0.9702026844024658,0.0012377044185996056,0.002358828205615282,0.004142075777053833,0.0014496163930743933,0.012538513168692589,0.0012089357478544116,0.001093326136469841,0.0012062005698680878,0.0018825543811544776,0.0009291640599258244,0.0017503905110061169
calculations performed system must comply according norms set user vary unless explicitly changed user,L,F,0.36302292346954346,0.023761600255966187,0.10473870486021042,0.14081740379333496,0.017010293900966644,0.08188837766647339,0.03934843838214874,0.01147383265197277,0.012514368630945683,0.02284706011414528,0.028523780405521393,0.154053196310997
hit results sinking ship product shall mark ship sunk offensive grid offensive player,F,F,0.9785566329956055,0.0007740336586721241,0.00615699402987957,0.0044759116135537624,0.001126111950725317,0.002386590465903282,0.000797647750005126,0.000843853282276541,0.001163722132332623,0.0013469333061948419,0.0010087097762152553,0.0013628099113702774
product allow priviledged users view meeting schedules multiple reporting views,F,F,0.9699782729148865,0.0008175360853783786,0.0034644927363842726,0.005641147028654814,0.0010300794383510947,0.012553060427308083,0.0011176744010299444,0.00097671861294657,0.0009364149300381541,0.0008860266534611583,0.0008321913774125278,0.0017664269544184208
system shall professional appearance,LF,F,0.8406047821044922,0.002511953702196479,0.08211466670036316,0.028839441016316414,0.004837837535887957,0.008411111310124397,0.004041573032736778,0.003711899509653449,0.0038449938874691725,0.010759493336081505,0.005348982755094767,0.004973211325705051
product shall allow user save property search results,F,F,0.8866795897483826,0.004586678463965654,0.021879080682992935,0.06405767053365707,0.002045687520876527,0.0044447919353842735,0.003423747606575489,0.0019253907958045602,0.0021235342137515545,0.002192977350205183,0.0028459501918405294,0.003794804448261857
product shall continue operate upgrade change new resource additionthe product shall able continue operate interruption service due new resource additions,MN,A,0.022305022925138474,0.13360945880413055,0.028275324031710625,0.036343008279800415,0.23543010652065277,0.05397278070449829,0.08768246322870255,0.11202376335859299,0.042878277599811554,0.1148495227098465,0.10239706933498383,0.030233189463615417
purchase product valid credit card,F,F,0.9666152596473694,0.0008796554175205529,0.0028915624134242535,0.003391074715182185,0.001264185062609613,0.016216713935136795,0.001058142981491983,0.0009614606969989836,0.00125449791084975,0.0024858361575752497,0.0009732203907333314,0.002008375944569707
system shall allow user addremove products shopping cart,F,F,0.9872970581054688,0.0005838227225467563,0.0022862402256578207,0.003900129348039627,0.0006200158968567848,0.0016625162679702044,0.0004837879678234458,0.0005184662877582014,0.0007124986150301993,0.0006182611105032265,0.0005332532455213368,0.0007839264580979943
product shall allow customization start page views preferences,US,US,0.26266899704933167,0.012499059550464153,0.2657815217971802,0.37545356154441833,0.0068367281928658485,0.011460081674158573,0.016648877412080765,0.010010025463998318,0.007144390605390072,0.006745333783328533,0.013821855187416077,0.010929523035883904
system shall allow minimum 6 users work time,PE,SC,0.03287757188081741,0.16660107672214508,0.040952809154987335,0.1273103505373001,0.14776724576950073,0.030833803117275238,0.04346898943185806,0.28769415616989136,0.0294241551309824,0.026207031682133675,0.04708606377243996,0.01977681554853916
system use shall cause harm human users,SE,SE,0.06464719027280807,0.03467702865600586,0.06336916983127594,0.08626200258731842,0.018621424213051796,0.4716275930404663,0.09386912733316422,0.024787263944745064,0.015585067681968212,0.031426575034856796,0.035486433655023575,0.05964114889502525
users shall able reach 91add92 91drop92 91trade player92 pages one click team owner92s page,US,O,0.06715823709964752,0.026506545022130013,0.06375864893198013,0.29037800431251526,0.03285641595721245,0.07350492477416992,0.029269691556692123,0.023774810135364532,0.03814688324928284,0.29469025135040283,0.044001929461956024,0.01595369167625904
system shall allow user define time segments,F,F,0.9867135286331177,0.0007263675215654075,0.002270693192258477,0.0036826597061008215,0.0007253533694893122,0.001604751218110323,0.0005543848965317011,0.0006388396141119301,0.0008340844069607556,0.0006861946312710643,0.0006156743038445711,0.0009474504040554166
system shall allow user select order order history,F,F,0.9877574443817139,0.0006348892347887158,0.002220806898549199,0.003237479366362095,0.0006889488431625068,0.0014861851232126355,0.0004981154925189912,0.0006030871882103384,0.0007909790729172528,0.0006494504050351679,0.0005704346694983542,0.0008622219320386648
