text,true_label,predicted_label,prob_F,prob_PE,prob_LF,prob_US,prob_A,prob_SE,prob_FT,prob_SC,prob_PO,prob_O,prob_MN,prob_L
product shall audit capabilitiesthe product shall store messages minimum one year audit transaction tracking purposes,SE,SE,0.025835204869508743,0.2338450849056244,0.036761634051799774,0.2558928430080414,0.02046816237270832,0.2765764594078064,0.03315424919128418,0.03941202908754349,0.011812479235231876,0.02325991354882717,0.023018229752779007,0.019963661208748817
recycled parts search results provided estimator shall retrieved system,F,F,0.8836861252784729,0.015564300119876862,0.013874763622879982,0.0381012037396431,0.002270182827487588,0.01740257441997528,0.008172327652573586,0.005002554040402174,0.00397760234773159,0.004873085767030716,0.0020583884324878454,0.005017018876969814
users able access streaming movies 2 clicks logging website,US,US,0.040271371603012085,0.1589098572731018,0.02145628072321415,0.42376381158828735,0.021172793582081795,0.08615297824144363,0.027678828686475754,0.07022266089916229,0.03648358955979347,0.03949398919939995,0.036811795085668564,0.03758210688829422
product shall available 24 hours per day seven days per week,A,A,0.006898210849612951,0.19098292291164398,0.021031619980931282,0.031202176585793495,0.47952374815940857,0.01599826104938984,0.030980823561549187,0.03026900812983513,0.016778435558080673,0.08875619620084763,0.07620922476053238,0.011369312182068825
system shall help user avoid making mistakes scheduling classes clinicals nursing students,US,F,0.8069952726364136,0.01590198650956154,0.013628393411636353,0.10118291527032852,0.005091983359307051,0.0031911921687424183,0.012150654569268227,0.01609707437455654,0.00451660854741931,0.00759185291826725,0.00536716403439641,0.008284861221909523
system shall display detailed invoice current order confirmed,F,F,0.9879505634307861,0.0015205303207039833,0.0018826579907909036,0.0019973902963101864,0.000389007298508659,0.001319671398960054,0.0016177851939573884,0.0005322900833562016,0.0007369255763478577,0.0010336086852476,0.0002997866249643266,0.0007198546663857996
system use secured database,SE,SE,0.02489606663584709,0.00854366272687912,0.039602961391210556,0.018183721229434013,0.012078427709639072,0.6313592791557312,0.00994318537414074,0.00801639724522829,0.01008518598973751,0.2097315490245819,0.016864841803908348,0.01069467794150114
leads washing functionality store potential lead duplicates returned enterprise system,F,F,0.977334201335907,0.002248704433441162,0.003533645998686552,0.008167209103703499,0.0004293598758522421,0.001175501849502325,0.0019821568857878447,0.0007276300457306206,0.000715050264261663,0.0020877670031040907,0.0006386418826878071,0.000960098928771913
system shall interface faculty central server,O,O,0.012018270790576935,0.039133522659540176,0.07545442879199982,0.030054470524191856,0.04854804277420044,0.03245432302355766,0.020335828885436058,0.02261660061776638,0.019909916445612907,0.6595881581306458,0.022346630692481995,0.01753986068069935
product shall internet browser independentthe product must run using internet explorer netscape navigator,MN,O,0.004750569351017475,0.02535211853682995,0.12722735106945038,0.07922983169555664,0.07184659689664841,0.019083557650446892,0.022676164284348488,0.020502928644418716,0.034819185733795166,0.5229046940803528,0.051610562950372696,0.01999642141163349
staff members shall able complete set tasks timely manner,PE,US,0.06998901069164276,0.24171718955039978,0.028874944895505905,0.5106887221336365,0.02225901186466217,0.022740241140127182,0.019045589491724968,0.029419897124171257,0.003480975516140461,0.027695059776306152,0.013811553828418255,0.010277725756168365
system may throttled slowed heavy loads ensure service everybody throttling meant certain functionality may unavailable heavy server load,PE,US,0.006308614742010832,0.17337414622306824,0.07359287887811661,0.17665904760360718,0.056953687220811844,0.038874782621860504,0.09849488735198975,0.12771131098270416,0.03652000427246094,0.08677688986063004,0.0773865133523941,0.04734724760055542
system allow customers pay streaming movie prepaid card,F,F,0.7490788102149963,0.03914414346218109,0.007034440990537405,0.062299396842718124,0.014627438969910145,0.02091166190803051,0.01809043064713478,0.013643994927406311,0.008126094937324524,0.05190763622522354,0.00751125393435359,0.0076246438547968864
calculations performed system must comply according norms set user vary unless explicitly changed user,L,US,0.09496013820171356,0.039037153124809265,0.139399915933609,0.34167206287384033,0.01350060012191534,0.1327473670244217,0.054589834064245224,0.018804749473929405,0.016904225572943687,0.03525974228978157,0.045779626816511154,0.06734461337327957
hit results sinking ship product shall mark ship sunk offensive grid offensive player,F,F,0.9572613835334778,0.001950264093466103,0.015376287512481213,0.008554651401937008,0.0009027360356412828,0.0018344568088650703,0.0033313482999801636,0.0009396212990395725,0.0012475941330194473,0.00503238569945097,0.00185976002831012,0.0017094273352995515
product allow priviledged users view meeting schedules multiple reporting views,F,F,0.8146224617958069,0.030359843745827675,0.010609394870698452,0.0785112977027893,0.005530205555260181,0.01340832281857729,0.014507790096104145,0.011979656293988228,0.0058258818462491035,0.004974309355020523,0.0037915015127509832,0.0058793434873223305
system shall professional appearance,LF,LF,0.1151001900434494,0.02474767528474331,0.3855676054954529,0.08099319040775299,0.04017965868115425,0.04605027288198471,0.04604830965399742,0.017605185508728027,0.017911383882164955,0.158259779214859,0.030852027237415314,0.03668471425771713
product shall allow user save property search results,F,F,0.9824275374412537,0.002123338868841529,0.001612181426025927,0.004873141646385193,0.0007428793469443917,0.001338639878667891,0.002195760840550065,0.0013679079711437225,0.0009801482083275914,0.0008028530864976346,0.0004502672527451068,0.0010854292195290327
product shall continue operate upgrade change new resource additionthe product shall able continue operate interruption service due new resource additions,MN,US,0.010806388221681118,0.20827479660511017,0.06399543583393097,0.21965709328651428,0.09772143512964249,0.02018110454082489,0.09070026129484177,0.05981893092393875,0.02494203858077526,0.07431189715862274,0.10322120785713196,0.026369348168373108
purchase product valid credit card,F,F,0.9445659518241882,0.004885406699031591,0.0022328700870275497,0.010604570619761944,0.0010611165780574083,0.0216288510710001,0.0021616709418594837,0.0017655036645010114,0.001739327679388225,0.006208663806319237,0.0010985579574480653,0.0020474360790103674
system shall allow user addremove products shopping cart,F,F,0.9848632216453552,0.002071905881166458,0.001058843219652772,0.003295919392257929,0.0006764844874851406,0.0010468263644725084,0.0030335746705532074,0.0012916221749037504,0.0007180285174399614,0.0007276191608980298,0.0004315558762755245,0.0007844012579880655
product shall allow customization start page views preferences,US,F,0.9778043627738953,0.002824809867888689,0.0023996932432055473,0.0059065925888717175,0.00105240975972265,0.0015062600141391158,0.00291529786773026,0.0017368405824527144,0.0008368908893316984,0.001035582390613854,0.0007246155291795731,0.0012565371580421925
system shall allow minimum 6 users work time,PE,PE,0.016881082206964493,0.4640306234359741,0.013502618297934532,0.07428894937038422,0.25607508420944214,0.013109552673995495,0.021377334371209145,0.05586232244968414,0.014928934164345264,0.01498318463563919,0.04241109639406204,0.012549256905913353
system use shall cause harm human users,SE,US,0.05162443965673447,0.03502681106328964,0.13856759667396545,0.43131184577941895,0.02497871406376362,0.15602342784404755,0.03900409862399101,0.040861137211322784,0.017376989126205444,0.01492331176996231,0.021837130188941956,0.028464585542678833
users shall able reach 91add92 91drop92 91trade player92 pages one click team owner92s page,US,US,0.014544688165187836,0.13321757316589355,0.03648418188095093,0.6109991669654846,0.021026380360126495,0.027623001486063004,0.010992494411766529,0.04950948432087898,0.0239688940346241,0.02841084823012352,0.02559921331703663,0.017624087631702423
system shall allow user define time segments,F,F,0.9870065450668335,0.0017455059569329023,0.0011352571891620755,0.0028307982720434666,0.0006948584923520684,0.001377181732095778,0.001636628876440227,0.0012128913076594472,0.0005947414902038872,0.0008024186827242374,0.00033035315573215485,0.0006327192531898618
system shall allow user select order order history,F,F,0.9907105565071106,0.0010837626177817583,0.0006318872910924256,0.0017660270677879453,0.0004237824468873441,0.0016303021693602204,0.0014446851564571261,0.0006121874321252108,0.00040768945473246276,0.0005714625585824251,0.00023754396534059197,0.00048011977924034
